ano_coleta,desp_nac_bruta_dolar_cons_2010,desp_geral_saude_perc_pib,desp_total_edu_perc_pib,desp_geral_consumo_perc_cres_anual,desp_ext_saude_percap_dolar,desp_atual_percap_saude_dolar,desp_diretas_percap_dolar,desp_pesquisa_perc_pib,rec_exc_doac_perc_pib,rec_trib_perc_pib,rec_exc_subs_em_real,cres_pop_perc_anual,cres_pib_perc_anual,cres_pib_percap_perc_anual,deflator_pib_perc_anual,pib_em_dolar,pib_em_real,emprestimos_bird_dolar
1990,"1122467639572,89",,,"-9,76066692839457",,,,,,,,"1,81151883766468","-3,10235594875007","-4,8418716271897","2700,44214011055","1189604001251,3","11548794,55",8426717000
1991,"1186718575829,92",,,"-2,89135937468896",,,,,,,,"1,75941419381772","1,51193723815426","-0,25845823029789","414,236261670349","1207590067132,79",60286000,8164643000
1992,"1173782157344,25",,,"2,84092718139684",,,,,,,,"1,70733923298647","-0,466913211737747","-2,15185587870434","968,184255515357","1201951669565,71",640958800,7238026000
1993,"1225283410584,36",,,"2,30732914313691",,,,,,,,"1,66486231216782","4,66516899045992","2,93706324430802","2001,34772635114","1258024746134,61",14097114200,6574882000
1994,"1313780314404,28",,,"0,33288444788721",,,,,,,,"1,6337888839804","5,33455170168176","3,6275895532065","2302,84077822226","1325134726637,11",356801000000,6310906000
1995,"1404692292633,02",,"4,56816005706787","1,34521707163884",,,,,,,,"1,60971030654546","4,41673135543732","2,74938023353704","89,4974402737941","1383662367610,28",705991552900,6037664000
1996,"1429924648306,05",,,"-1,2842734279085",,,,,,,,"1,58883830194468","2,20753552677458","0,596455673446997","18,457783497873","1414207205945,88",854763607800,5876244000
1997,"1483718465779,9",,,"1,24643286536003",,,,,,,,"1,56373197369546","3,39484598484418","1,79060343561859","7,72902341336794","1462217362494,32",952089196100,5742737000
1998,"1485633790814,01",,"4,75665998458862","3,22176672770833",,,,,,,,"1,52896188133332","0,338097902952427","-1,18436477043576","4,924361583063","1467161088733,51",1002351019200,6298359000
1999,"1466534833674,4",,"3,80062007904053","1,68820630138688",,,,,,,,"1,48110975211591","0,467937567378257","-1,00913730182532","8,01050088213842","1474026486641,65",1087710456100,6822419000
2000,"1515734217257,84","3,47024679","3,94893002510071","-0,151267037353861","0,99447882","312,53927612","114,36506653","1,04751",,,,"1,42416744229362","4,38794944267383","2,91182643418635","5,60606514569552","1538706023647,11",1199092070900,7376553000
