ano_coleta,desp_nac_bruta_dolar_cons_2010,desp_geral_saude_perc_pib,desp_total_edu_perc_pib,desp_geral_consumo_perc_cres_anual,desp_ext_saude_percap_dolar,desp_atual_percap_saude_dolar,desp_diretas_percap_dolar,desp_pesquisa_perc_pib,rec_exc_doac_perc_pib,rec_trib_perc_pib,rec_exc_subs_em_real,cres_pop_perc_anual,cres_pib_perc_anual,cres_pib_percap_perc_anual,deflator_pib_perc_anual,pib_em_real,emprestimos_bird_dolar
1990,1122467639572.89,3.4702,4.5682,-9.7607,0.9945,312.5393,114.3651,1.0475,29.0006,14.2561,1126919936970.15,1.8115,-3.1024,-4.8419,2700.4421,11548794.55,8426717000.0
1991,1186718575829.92,3.4702,4.5682,-2.8914,0.9945,312.5393,114.3651,1.0475,29.0006,14.2561,1126919936970.15,1.7594,1.5119,-0.2585,414.2363,60286000.0,8164643000.0
1992,1173782157344.25,3.4702,4.5682,2.8409,0.9945,312.5393,114.3651,1.0475,29.0006,14.2561,1126919936970.15,1.7073,-0.4669,-2.1519,968.1843,640958800.0,7238026000.0
1993,1225283410584.36,3.4702,4.5682,2.3073,0.9945,312.5393,114.3651,1.0475,29.0006,14.2561,1126919936970.15,1.6649,4.6652,2.9371,2001.3477,14097114200.0,6574882000.0
1994,1313780314404.28,3.4702,4.5682,0.3329,0.9945,312.5393,114.3651,1.0475,29.0006,14.2561,1126919936970.15,1.6338,5.3346,3.6276,2302.8408,356801000000.0,6310906000.0
1995,1404692292633.02,3.4702,4.5682,1.3452,0.9945,312.5393,114.3651,1.0475,29.0006,14.2561,1126919936970.15,1.6097,4.4167,2.7494,89.4974,705991552900.0,6037664000.0
1996,1429924648306.05,3.4702,4.7567,-1.2843,0.9945,312.5393,114.3651,1.0475,29.0006,14.2561,1126919936970.15,1.5888,2.2075,0.5965,18.4578,854763607800.0,5876244000.0
1997,1483718465779.9,3.4702,4.7567,1.2464,0.9945,312.5393,114.3651,1.0475,29.0006,14.2561,1126919936970.15,1.5637,3.3948,1.7906,7.729,952089196100.0,5742737000.0
1998,1485633790814.01,3.4702,4.7567,3.2218,0.9945,312.5393,114.3651,1.0475,29.0006,14.2561,1126919936970.15,1.529,0.3381,-1.1844,4.9244,1002351019200.0,6298359000.0
1999,1466534833674.4,3.4702,3.8006,1.6882,0.9945,312.5393,114.3651,1.0475,29.0006,14.2561,1126919936970.15,1.4811,0.4679,-1.0091,8.0105,1087710456100.0,6822419000.0
2000,1515734217257.84,3.4702,3.9489,-0.1513,0.9945,312.5393,114.3651,1.0475,29.0006,14.2561,1126919936970.15,1.4242,4.3879,2.9118,5.6061,1199092070900.0,7376553000.0
2001,1534329730047.75,3.5131,3.8447,2.6159,0.7662,270.1898,102.1507,1.062,29.0006,14.2561,1126919936970.15,1.367,1.3899,0.0134,8.2251,1315755467800.0,7963197000.0
2002,1553763701796.27,3.6895,3.7504,3.8163,0.7797,246.947,89.904,1.0097,29.0006,14.2561,1126919936970.15,1.3127,3.0535,1.7095,9.7981,1488787255200.0,8584823000.0
